slug,provider,offer,actionButtons,openSource,supportedPlatforms,custodial,mfa,msig,hardware,keyExport,native,evm,tendermint,tokensSupport,staking,price,support,audit,languages,starred,tag
metamask,Metamask,!offer:metamask,"[""[Docs](https://docs.filecoin.io/networks-and-tools/assets/metamask-setup)""]",Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
nufi-wallet,Nufi,!offer:nufi-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
okxwallet,Okxwallet,!offer:okxwallet,"[""[Website](https://web3.okx.com/wallet/filecoin)""]",Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,"[""FIL""]",Yes,Free,Email,Yes,English,FALSE,wallets
ownbit,Ownbit,!offer:ownbit,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
ronin-wallet,Ronin,!offer:ronin-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
saakuru-wallet,Saakuru,!offer:saakuru-wallet,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
stackup,Stackup,!offer:stackup,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
trustwallet,Trustwallet,!offer:trustwallet,"[""[Website](https://trustwallet.com/filecoin-wallet)"",""[Filecoin Docs](https://docs.filecoin.io/networks-and-tools/assets/wallets)""]",Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
walletverse,Walletverse,!offer:walletverse,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
wigwam,Wigwam,!offer:wigwam,View,Yes,"Web, iOS, Android",No,Yes,No,Yes,Yes,Yes,Yes,No,Multiple,Yes,Free,Email,Yes,English,FALSE,wallets
