slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
lunarcrush-builder,Lunarcrush,!offer:lunarcrush-builder,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
lunarcrush-hobby,Lunarcrush,!offer:lunarcrush-hobby,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
lunarcrush-individual,Lunarcrush,!offer:lunarcrush-individual,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
lunarcrush-scale,Lunarcrush,!offer:lunarcrush-scale,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
messari-mainnet,Messari,!offer:messari,"[""[Dashboard](https://messari.io/project/filecoin)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
santiment-mainnet-business-max,Santiment,!offer:santiment-business-max,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
santiment-mainnet-business-pro,Santiment,!offer:santiment-business-pro,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
santiment-mainnet-free,Santiment,!offer:santiment-free,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
santiment-mainnet-sanbase-max,Santiment,!offer:santiment-sanbase-max,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
santiment-mainnet-sanbase-pro,Santiment,!offer:santiment-sanbase-pro,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
starboard-mainnet,Starboard,!offer:starboard,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
tokenterminal-mainnet,Tokenterminal,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/filecoin)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
