slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
getblock-mainnet-free-recent-state,Getblock,!offer:getblock-free-recent-state,"[""[Website](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://getblock.mainnet.free.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
getblock-mainnet-pro-recent-state,Getblock,!offer:getblock-pro-recent-state,"[""[Buy](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://getblock.mainnet.pro.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
getblock-mainnet-starter-recent-state,Getblock,!offer:getblock-starter-recent-state,"[""[Buy](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://getblock.mainnet.starter.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
getblock-testnet-advanced-recent-state,Getblock,!offer:getblock-advanced-recent-state,"[""[Buy](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://getblock.testnet.advanced.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
getblock-testnet-dedicated-recent-state,Getblock,!offer:getblock-dedicated-recent-state,"[""[Contact](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://getblock.testnet.dedicated.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
getblock-testnet-free-recent-state,Getblock,!offer:getblock-free-recent-state,"[""[Website](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://getblock.testnet.free.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
getblock-testnet-pro-recent-state,Getblock,!offer:getblock-pro-recent-state,"[""[Buy](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://getblock.testnet.pro.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
getblock-testnet-starter-recent-state,Getblock,!offer:getblock-starter-recent-state,"[""[Buy](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://docs.getblock.io/?q=algorand)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://getblock.testnet.starter.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
node-real-mainnet-business,Node,!offer:node-real-business,"[""[Buy](https://nodereal.io/pricing)""]",,Node RPC,Yes,JSON-RPC,Algorand Indexer,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://node.real.mainnet.business.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
node-real-mainnet-business-recent-state,Node,!offer:node-real-business-recent-state,"[""[Buy](https://nodereal.io/pricing)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://node.real.mainnet.business.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
node-real-mainnet-free,Node,!offer:node-real-free,"[""[Website](https://nodereal.io/api-marketplace/algorand-rest-api)""]",,Node RPC,Yes,JSON-RPC,Algorand Indexer,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://node.real.mainnet.free.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
node-real-mainnet-free-recent-state,Node,!offer:node-real-free-recent-state,"[""[Website](https://nodereal.io/api-marketplace/algorand-rest-api)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://node.real.mainnet.free.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
node-real-mainnet-growth,Node,!offer:node-real-growth,"[""[Buy](https://nodereal.io/pricing)""]",,Node RPC,Yes,JSON-RPC,Algorand Indexer,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://node.real.mainnet.growth.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
node-real-mainnet-growth-recent-state,Node,!offer:node-real-growth-recent-state,"[""[Buy](https://nodereal.io/pricing)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://node.real.mainnet.growth.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
node-real-mainnet-team,Node,!offer:node-real-team,"[""[Buy](https://nodereal.io/pricing)""]",,Node RPC,Yes,JSON-RPC,Algorand Indexer,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://node.real.mainnet.team.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
node-real-mainnet-team-recent-state,Node,!offer:node-real-team-recent-state,"[""[Buy](https://nodereal.io/pricing)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://node.real.mainnet.team.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-mainnet-enterprise-full-archive,Nodely,!offer:nodely-enterprise-full-archive,View,,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nodely.mainnet.enterprise.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-mainnet-enterprise-indexer,Nodely,!offer:nodely-enterprise-indexer,View,,Node RPC,Yes,JSON-RPC,Algorand Indexer,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nodely.mainnet.enterprise.indexer.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-mainnet-enterprise-recent-state,Nodely,!offer:nodely-enterprise-recent-state,View,,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nodely.mainnet.enterprise.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-mainnet-free-full-archive,Nodely,!offer:nodely-free-full-archive,View,,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,"[""IPFS Gateway""]",https://nodely.mainnet.free.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-mainnet-free-indexer,Nodely,!offer:nodely-free-indexer,View,,Node RPC,Yes,JSON-RPC,Algorand Indexer,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,"[""IPFS Gateway""]",https://nodely.mainnet.free.indexer.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-mainnet-free-recent-state,Nodely,!offer:nodely-free-recent-state,View,,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,"[""IPFS Gateway""]",https://nodely.mainnet.free.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-mainnet-pay-as-you-go-full-archive,Nodely,!offer:nodely-pay-as-you-go-full-archive,View,,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nodely.mainnet.pay.as.you.go.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-mainnet-pay-as-you-go-indexer,Nodely,!offer:nodely-pay-as-you-go-indexer,View,,Node RPC,Yes,JSON-RPC,Algorand Indexer,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nodely.mainnet.pay.as.you.go.indexer.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-mainnet-pay-as-you-go-recent-state,Nodely,!offer:nodely-pay-as-you-go-recent-state,View,,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nodely.mainnet.pay.as.you.go.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-testnet-enterprise-full-archive,Nodely,!offer:nodely-enterprise-full-archive,View,,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nodely.testnet.enterprise.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-testnet-enterprise-indexer,Nodely,!offer:nodely-enterprise-indexer,View,,Node RPC,Yes,JSON-RPC,Algorand Indexer,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nodely.testnet.enterprise.indexer.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-testnet-enterprise-recent-state,Nodely,!offer:nodely-enterprise-recent-state,View,,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nodely.testnet.enterprise.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-testnet-free-full-archive,Nodely,!offer:nodely-free-full-archive,View,,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nodely.testnet.free.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-testnet-free-indexer,Nodely,!offer:nodely-free-indexer,View,,Node RPC,Yes,JSON-RPC,Algorand Indexer,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nodely.testnet.free.indexer.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-testnet-free-recent-state,Nodely,!offer:nodely-free-recent-state,View,,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nodely.testnet.free.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-testnet-pay-as-you-go-full-archive,Nodely,!offer:nodely-pay-as-you-go-full-archive,View,,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nodely.testnet.pay.as.you.go.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-testnet-pay-as-you-go-indexer,Nodely,!offer:nodely-pay-as-you-go-indexer,View,,Node RPC,Yes,JSON-RPC,Algorand Indexer,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nodely.testnet.pay.as.you.go.indexer.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nodely-testnet-pay-as-you-go-recent-state,Nodely,!offer:nodely-pay-as-you-go-recent-state,View,,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nodely.testnet.pay.as.you.go.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nownodes-mainnet-business-recent-state,Nownodes,!offer:nownodes-business-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nownodes.mainnet.business.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nownodes-mainnet-custom-recent-state,Nownodes,!offer:nownodes-custom-recent-state,"[""[Website](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nownodes.mainnet.custom.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nownodes-mainnet-dedicated-recent-state,Nownodes,!offer:nownodes-dedicated-recent-state,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nownodes.mainnet.dedicated.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nownodes-mainnet-enterprise-recent-state,Nownodes,!offer:nownodes-enterprise-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nownodes.mainnet.enterprise.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nownodes-mainnet-free-recent-state,Nownodes,!offer:nownodes-free-recent-state,"[""[Website](https://nownodes.io/nodes/algorand-algo)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nownodes.mainnet.free.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nownodes-mainnet-pro-recent-state,Nownodes,!offer:nownodes-pro-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nownodes.mainnet.pro.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nownodes-testnet-business-recent-state,Nownodes,!offer:nownodes-business-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nownodes.testnet.business.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nownodes-testnet-dedicated-recent-state,Nownodes,!offer:nownodes-dedicated-recent-state,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nownodes.testnet.dedicated.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nownodes-testnet-enterprise-recent-state,Nownodes,!offer:nownodes-enterprise-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nownodes.testnet.enterprise.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nownodes-testnet-free-recent-state,Nownodes,!offer:nownodes-free-recent-state,"[""[Website](https://nownodes.io/nodes/algorand-algo)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nownodes.testnet.free.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
nownodes-testnet-pro-recent-state,Nownodes,!offer:nownodes-pro-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,Node RPC,Yes,JSON-RPC,Algorand REST,testnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://nownodes.testnet.pro.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
onfinality-mainnet-free-plan-indexer,Onfinality,!offer:onfinality-free-plan-indexer,"[""[Contact](https://indexing.onfinality.io/pricing)"",""[Docs](https://subquery.network/indexer/algorand)""]",,Node RPC,Yes,JSON-RPC,TypeScript,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://onfinality.mainnet.free.plan.indexer.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
onfinality-mainnet-standard-plan-indexer,Onfinality,!offer:onfinality-standard-plan-indexer,"[""[Contact](https://indexing.onfinality.io/pricing)"",""[Docs](https://subquery.network/indexer/algorand)""]",,Node RPC,Yes,JSON-RPC,TypeScript,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://onfinality.mainnet.standard.plan.indexer.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
stakely-mainnet-advanced-recent-state,Stakely,!offer:stakely-advanced-recent-state,View,,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,$150/mo,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://stakely.mainnet.advanced.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
stakely-mainnet-basic-recent-state,Stakely,!offer:stakely-basic-recent-state,View,,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,$50/mo,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://stakely.mainnet.basic.recent.state.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
stakely-mainnet-dedicated-full-archive,Stakely,!offer:stakely-dedicated-full-archive,View,,Node RPC,Yes,JSON-RPC,Algorand REST,mainnet,Free,Free,FALSE,Yes,"Chain data, Block info, Transaction status",Rate limits apply,Standard,Basic,Global,Blockchain infrastructure,https://stakely.mainnet.dedicated.full.archive.com,apis,99.9%,99.9%,0,0,100 Mbps,50ms,Discord
