slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
cryptoquant-mainnet-premium,Cryptoquant,!offer:cryptoquant-premium,"[""[Dashboard](https://cryptoquant.com/asset/algo/summary)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
cryptoquant-mainnet-professional,Cryptoquant,!offer:cryptoquant-professional,"[""[Dashboard](https://cryptoquant.com/asset/algo/summary)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
cryptoslam-mainnet,Cryptoslam,Cryptoslam Mainnet,"[""[Dashboard](https://www.cryptoslam.io/blockchains/algorand)""]",mainnet,"[""NFT Sales Data"",""Transaction Volume"",""Number of NFT Owners"",""Upcoming Drops""]",TRUE,,"[""NFT Sales Data API""]",$0,,Free,FALSE,analytics
defillama-mainnet-api,Defillama,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/algorand)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
defillama-mainnet-free,Defillama,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/algorand)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
defillama-mainnet-pro,Defillama,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/algorand)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
dexscreener-mainnet,Dexscreener,!offer:dexscreener,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
glassnode,Glassnode,!offer:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=ALGO)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
laevitas-mainnet-enterprise,Laevitas,!offer:laevitas-enterprise,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
laevitas-mainnet-free,Laevitas,!offer:laevitas-free,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
laevitas-mainnet-premium,Laevitas,!offer:laevitas-premium,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
lunarcrush-builder,Lunarcrush,!offer:lunarcrush-builder,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
lunarcrush-hobby,Lunarcrush,!offer:lunarcrush-hobby,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
lunarcrush-individual,Lunarcrush,!offer:lunarcrush-individual,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
lunarcrush-scale,Lunarcrush,!offer:lunarcrush-scale,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
messari-mainnet,Messari,!offer:messari,"[""[Dashboard](https://messari.io/project/algorand)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
nansen-mainnet,Nansen,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/token-god-mode?tokenAddress=ALGO&chain=hyperliquid&tab=transactions)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
nodely-network-analytics-mainnet,Nodely,!offer:nodely-network-analytics,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
pera-mainnet,Pera,Pera Mainnet,"[""[Dashboard](https://explorer.perawallet.app/)""]",mainnet,"[""Transactions"",""Assets"",""NFT"",""Blocks"",""Network Activity""]",TRUE,,"[""Search API"",""NFT API"",""Asset API""]",$0,,Free,FALSE,analytics
pera-testnet,Pera,Pera Testnet,"[""[Dashboard](https://testnet.explorer.perawallet.app/)""]",testnet,"[""Transactions"",""Assets"",""NFT"",""Blocks"",""Network Activity""]",TRUE,,"[""Search API"",""NFT API"",""Asset API""]",$0,,Free,FALSE,analytics
santiment-mainnet-business-max,Santiment,!offer:santiment-business-max,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
santiment-mainnet-business-pro,Santiment,!offer:santiment-business-pro,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
santiment-mainnet-free,Santiment,!offer:santiment-free,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
santiment-mainnet-sanbase-max,Santiment,!offer:santiment-sanbase-max,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
santiment-mainnet-sanbase-pro,Santiment,!offer:santiment-sanbase-pro,View,mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
tokenterminal-mainnet,Tokenterminal,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/algorand)""]",mainnet,,,,"Chain data, Block info, Transaction status",,,,FALSE,analytics
vestige-mainnet,Vestige,Vestige Mainnet,"[""[Dashboard](https://vestige.fi/asset/0)""]",mainnet,"[""Assets"",""Tokens"",""DEX Liquidity Pools"",""Historical Price & Volume""]",TRUE,,"[""DeFi Analytics API""]",$0,,Free,FALSE,analytics
